District ID,District,Latitude,Longitude,# of Hospitals,Population,Population over 65,Elderly %,Population in Slums,Slum %,Population with Low Income,"Low Income
%",Elderly Norm,Slum Norm,LI Norm,Composite Vulnerability Index
D_01,Bang Bon,13.655758066086,100.389955859642,2,"138,698","6,152",4.44%,802,0.58%,348,0.25%,0.080,0.018,0.840,0.313
D_02,Bang Kapi,13.769327815942,100.640104509074,2,"355,591","13,121",3.69%,"8,394",2.36%,262,0.07%,0.000,0.074,0.197,0.091
D_03,Bang Khae,13.716274129171,100.394964870417,3,"290,911","18,946",6.51%,"13,502",4.64%,478,0.16%,0.388,0.146,0.526,0.353
D_04,Bang Khen,13.866796206737,100.630544592493,2,"245,310","15,431",6.29%,"5,801",2.36%,414,0.17%,0.355,0.075,0.542,0.324
D_05,Bang Kho Laem,13.696764672714,100.509274122189,1,"130,138","9,795",7.53%,"46,059",35.39%,234,0.18%,0.538,1.000,0.582,0.707
D_06,Bang Khun Thian,13.592715532843,100.427771946568,2,"130,138","12,668",9.73%,"1,708",1.31%,92,0.07%,0.865,0.041,0.187,0.364
D_07,Bang Na,13.667700568405,100.618442305174,3,"181,625","9,904",5.45%,"5,809",3.20%,219,0.12%,0.231,0.101,0.367,0.233
D_08,Bang Phlat,13.787345518650,100.494450602082,1,"174,275","12,268",7.04%,"45,918",26.35%,226,0.13%,0.466,0.831,0.400,0.566
D_09,Bang Rak,13.727024983837,100.524247403054,4,"50,728","5,353",10.55%,"1,040",2.05%,93,0.18%,0.986,0.065,0.595,0.549
D_10,Bang Sue,13.820014967907,100.528453350196,2,"132,948","12,283",9.24%,"36,201",27.23%,380,0.29%,0.792,0.858,0.966,0.872
D_11,Bangkok Noi,13.762809780000,100.471695713238,5,"158,533","15,991",10.09%,"91,384",57.64%,467,0.29%,0.917,1.000,0.998,0.972
D_12,Bangkok Yai,13.735136747640,100.476214390757,0,"89,508","7,745",8.65%,"16,676",18.63%,19,0.02%,0.705,0.587,0.007,0.433
D_13,Bueng Kum,13.808707365439,100.651250739336,2,"135,671","8,010",5.90%,"12,094",8.91%,401,0.30%,0.298,0.281,1.000,0.526
D_14,Chatuchak,13.826520639821,100.565140883179,2,"332,877","20,627",6.20%,"11,614",3.49%,319,0.10%,0.341,0.110,0.278,0.243
D_15,Chom Thong,13.686346258726,100.462897543055,2,"197,409","14,720",7.46%,"3,518",1.78%,183,0.09%,0.528,0.056,0.266,0.283
D_16,Din Daeng,13.775071482991,100.563266750885,0,"158,288","10,966",6.93%,"6,895",4.36%,433,0.27%,0.449,0.137,0.922,0.503
D_17,Don Mueang,13.925236763689,100.593623325396,0,"214,970","12,989",6.04%,"11,648",5.42%,584,0.27%,0.318,0.171,0.915,0.468
D_18,Dusit,13.780091407436,100.518223676127,2,"102,656","6,588",6.42%,"10,034",9.77%,232,0.23%,0.374,0.308,0.749,0.477
D_19,Huai Khwang,13.767514643219,100.583093057862,5,"168,583","13,392",7.94%,"14,536",8.62%,274,0.16%,0.600,0.272,0.519,0.464
D_20,Khan Na Yao,13.821081693804,100.677458900000,3,"126,856","7,489",5.90%,"10,381",8.18%,239,0.19%,0.298,0.258,0.613,0.390
